Site,Date,Time,Temp.,Sal.,Depth (cm),Turb. (NTU),CDOM
30,11/8/2012,1231,22.4,10.2,120,16.1,207
1,12/5/2012,1019,21.5,4.0,140,8.2,152
21,12/5/2012,1321,22.8,27.1,129,4.2,59
2,12/5/2012,1024,21.7,4.0,155,7.3,153
12,12/5/2012,1120,22.4,11.1,119,6.6,160
3,12/5/2012,1041,22.0,4.4,161,6.3,153
13,12/5/2012,1111,22.2,11.7,129,6.3,160
4,12/5/2012,1005,21.30,3.5,135,12.1,150
14,12/5/2012,1139,22.50,11.4,61,9.2,167
5,12/5/2012,1029,21.8,4.2,119,3.2,163
15,12/5/2012,1218,22.4,17.7,82,11.1,138
6,12/5/2012,1015,21.5,3.6,145,9.9,147
16,12/5/2012,1235,22.8,17.5,90,11.5,137
7,12/5/2012,1046,22.0,4.6,111,1.9,169
17,12/5/2012,1146,23.0,18.6,82,10.1,140
8,12/5/2012,1051,22.3,5.7,125,3.8,164
18,12/5/2012,1206,22.7,17.8,82,13.7,147
9,12/5/2012,1103,22.2,6.9,122,4.7,162
19,12/5/2012,1247,22.7,18.5,72,11.0,133
20,12/5/2012,1256,23.4,24.8,67,14.5,89
10,12/5/2012,1125,22.8,12.0,76,7.2,178
31,12/27/2012,1121,20.8,10.7,90,10.3,188
22,12/27/2012,1457,23.1,13.0,50,15.3,196
32,12/27/2012,1037,20.7,11.1,55,10.2,191
42,12/27/2012,1153,21.9,7.4,71,12.8,212
23,12/27/2012,1446,22.4,12.5,109,11.0,182
33,12/27/2012,1020,21.4,15.5,71,6.6,198
43,12/27/2012,1203,22.0,7.2,74,14.1,216
24,12/27/2012,1420,22.2,12.5,95,10.9,176
34,12/27/2012,1007,20.8,16.8,72,4.0,206
44,12/27/2012,1302,22.3,7.2,95,12.0,203
35,12/27/2012,1032,21.27,15.3,80,6.0,213
45,12/27/2012,1313,21.89,7.2,90,10.1,237
25,12/27/2012,1405,22.0,12.1,135,13.6,193
26,12/27/2012,1352,21.7,12.2,107,13.7,259
27,12/27/2012,1358,22.1,12.0,153,13.5,203
28,12/27/2012,1451,22.6,12.4,142,23.8,202
29,12/27/2012,1342,22.7,10.7,115,13.5,199
30,12/27/2012,1130,21.5,10.7,105,15.3,196
1,1/14/2013,930,23.2,4.7,130,9.5,160
21,1/14/2013,1247,23.8,27.0,131,3.3,71
2,1/14/2013,936,23.3,4.7,145,11.4,173
12,1/14/2013,1058,23.3,13.1,112,10.0,158
3,1/14/2013,953,23.3,4.9,155,6.9,174
13,1/14/2013,1049,23.6,12.9,120,8.5,158
4,1/14/2013,918,22.83,4.5,125,9.3,183
14,1/14/2013,1123,23.35,19.3,59,14.5,140
5,1/14/2013,948,23.2,4.7,110,3.6,175
15,1/14/2013,1200,23.3,20.2,90,17.8,141
6,1/14/2013,925,23.0,4.8,138,14.5,184
16,1/14/2013,1205,23.6,23.6,95,10.4,107
7,1/14/2013,959,23.4,5.8,105,1.4,176
17,1/14/2013,1131,23.3,19.4,87,12.5,131
8,1/14/2013,1006,23.4,7.4,120,2.6,184
18,1/14/2013,1150,23.1,21.0,90,15.2,142
9,1/14/2013,1037,23.6,8.2,115,4.5,153
19,1/14/2013,1211,23.4,25.4,72,4.7,76
20,1/14/2013,1224,23.3,24.1,73,6.0,65
10,1/14/2013,1103,23.3,11.5,70,16.4,149
31,1/15/2013,1140,24.7,10.9,85,10.1,207
22,1/15/2013,1454,24.3,12.7,45,15.2,173
32,1/15/2013,1054,24.0,12.2,50,9.8,174
42,1/15/2013,1211,24.4,7.4,70,15.0,252
23,1/15/2013,1440,25.2,12.6,100,11.9,208
33,1/15/2013,1036,23.7,17.1,67,8.2,231
43,1/15/2013,1220,24.3,7.5,65,17.0,241
24,1/15/2013,1434,24.7,12.6,90,11.9,207
34,1/15/2013,1030,24.2,12.1,68,3.6,221
44,1/15/2013,1317,25.6,7.4,80,12.8,230
35,1/15/2013,1043,23.58,15.4,79,9.6,227
45,1/15/2013,1326,24.26,7.5,70,14.5,249
25,1/15/2013,1414,24.0,12.2,127,15.3,208
26,1/15/2013,1358,24.0,12.0,100,16.7,208
27,1/15/2013,1408,23.7,12.2,145,15.5,221
28,1/15/2013,1444,24.2,12.3,131,11.3,219
29,1/15/2013,1347,24.2,10.7,103,19.2,209
30,1/15/2013,1150,23.9,10.6,100,16.6,209
22,2/19/2013,1415,22.0,13.3,40,14.4,149
42,2/19/2013,1128,21.7,8.3,60,23.6,203
23,2/19/2013,1358,23.6,13.1,95,10.2,139.1
43,2/19/2013,1137,21.0,8.3,60,17.9,174
24,2/19/2013,1353,22.3,13.2,85,12.3,172
44,2/19/2013,1151,20.3,8.3,65,20.4,212
45,2/19/2013,1202,21.66,8.4,60,18.7,212
25,2/19/2013,1339,21.0,12.9,125,21.6,155
26,2/19/2013,1327,22.1,12.9,90,19.5,162
27,2/19/2013,1333,21.2,12.8,140,20.8,167
28,2/19/2013,1400,22.5,12.9,125,13.6,157
29,2/19/2013,1319,22.5,14.6,95,20.9,172
30,2/19/2013,1102,21.2,15.0,85,19.4,174
1,2/26/2013,932,25.7,6.5,145,11.9,138
21,2/26/2013,1158,25.9,29.8,140,8.9,72
2,2/26/2013,944,25.9,6.4,145,11.2,141
12,2/26/2013,1048,26.6,23.4,114,13.0,110
3,2/26/2013,1003,26.0,6.5,150,10.8,135
13,2/26/2013,1039,26.2,18.1,123,12.2,117
4,2/26/2013,918,25.84,6.4,120,16.1,163
14,2/26/2013,1107,26.23,26.5,75,7.8,91
5,2/26/2013,956,25.9,7.1,112,3.4,149
15,2/26/2013,1124,26.2,26.1,95,11.0,102
6,2/26/2013,927,25.9,6.4,130,24.8,143
16,2/26/2013,1128,26.0,30.3,105,3.8,70
7,2/26/2013,1010,26.9,11.8,100,2.6,134
17,2/26/2013,1111,26.2,28.3,95,5.2,75
8,2/26/2013,1018,26.1,13.0,125,4.8,133
18,2/26/2013,1120,26.2,27.4,100,8.2,82
9,2/26/2013,1030,26.0,11.6,110,7.9,129
19,2/26/2013,1134,26.5,30.3,83,2.8,64
20,2/26/2013,1143,26.4,30.0,85,3.1,31
10,2/26/2013,1052,26.1,25.7,71,11.0,118
31,3/20/2013,1315,27.8,32.6,73,18.2,157
22,3/20/2013,1617,28.7,14.1,32,18.9,153
32,3/20/2013,1240,26.0,36.7,52,10.5,156
42,3/20/2013,1351,27.5,9.4,61,20.7,179
23,3/20/2013,1603,25.9,13.9,88,15.2,133
33,3/20/2013,1224,26.0,31.8,70,7.1,165
43,3/20/2013,1401,27.5,9.2,58,28.0,225
24,3/20/2013,1552,27.7,14.0,73,9.1,140
34,3/20/2013,1211,25.9,28.6,60,5.3,157
44,3/20/2013,1436,26.0,9.2,90,22.0,196
35,3/20/2013,1229,24.48,31.4,71,5.8,177
45,3/20/2013,1445,25.27,9.4,79,15.1,174
25,3/20/2013,1531,23.7,13.9,120,18.0,155
26,3/20/2013,1518,23.4,14.2,84,17.0,197
27,3/20/2013,1525,24.9,13.9,140,17.6,135
28,3/20/2013,1607,25.7,13.7,121,10.8,136
29,3/20/2013,1510,27.0,18.6,97,15.8,153
30,3/20/2013,1330,25.1,18.8,89,16.1,148
1,3/21/2013,1046,23.2,8.2,140,7.8,115
21,3/21/2013,1356,24.7,33.2,119,2.0,58
2,3/21/2013,1050,23.4,8.7,142,4.0,94
12,3/21/2013,1208,24.3,23.8,111,6.0,114
3,3/21/2013,1114,23.3,9.3,148,3.1,99
13,3/21/2013,1140,24.1,23.3,120,7.6,116
4,3/21/2013,1034,23.40,7.8,118,4.4,96
14,3/21/2013,1231,24.32,24.1,51,8.1,105
5,3/21/2013,1103,23.6,8.1,106,1.1,92
15,3/21/2013,1301,24.8,29.7,73,4.8,75
6,3/21/2013,1041,23.5,8.0,130,6.4,101
16,3/21/2013,1315,25.4,30.6,80,5.5,67
7,3/21/2013,1120,23.2,10.6,118,1.9,91
17,3/21/2013,1339,24.8,28.9,72,3.3,85
8,3/21/2013,1126,23.6,16.0,117,2.2,83
18,3/21/2013,1351,25.1,30.0,82,6.0,75
9,3/21/2013,1131,26.1,19.0,115,4.4,85
19,3/21/2013,1329,26.1,31.3,68,5.8,67
20,3/21/2013,1338,25.7,32.4,59,2.6,58
10,3/21/2013,1218,24.5,23.8,63,7.3,76
1,4/16/2013,940,28.4,10.5,135,4.5,111
21,4/16/2013,1241,29.3,34.0,115,NA,NA
2,4/16/2013,946,28.4,10.6,138,3.8,107
12,4/16/2013,1041,29.0,25.0,107,6.2,100
3,4/16/2013,1002,28.4,11.6,144,2.7,98
13,4/16/2013,1046,28.9,24.5,116,8.6,99
4,4/16/2013,932,28.41,10.3,112,7.0,96
14,4/16/2013,1109,29.24,24.9,47,8.9,107
5,4/16/2013,955,28.9,11.1,102,0.9,103
15,4/16/2013,1141,29.7,31.2,69,5.9,87
6,4/16/2013,936,28.5,10.4,126,6.4,103
16,4/16/2013,1153,29.8,31.2,76,3.0,80
7,4/16/2013,1010,28.2,13.2,114,1.6,113
17,4/16/2013,1117,30.0,31.9,68,3.1,88
8,4/16/2013,1021,29.0,17.8,113,1.7,102
18,4/16/2013,1132,29.6,31.7,78,4.3,87
9,4/16/2013,1029,29.0,18.9,111,2.4,105
19,4/16/2013,1204,30.3,32.1,64,1.9,87
20,4/16/2013,1218,30.2,32.3,55,2.0,68
10,4/16/2013,1056,30.3,25.9,59,9.2,108
31,4/18/2013,1403,30.5,37.7,72,15.1,188
22,4/18/2013,1733,30.1,14.9,31,15.6,142
32,4/18/2013,1328,29.9,43.3,51,8.6,207
42,4/18/2013,1437,28.9,11.1,60,43.5,174
23,4/18/2013,1717,30.8,14.7,87,15.3,148
33,4/18/2013,1306,28.8,40.7,69,5.9,188
43,4/18/2013,1445,30.3,10.9,57,40.5,168
24,4/18/2013,1713,30.0,14.7,72,17.0,145
34,4/18/2013,1250,29.4,36.9,59,4.3,172
44,4/18/2013,1556,29.2,11.1,89,29.3,210
35,4/18/2013,1316,28.36,41.7,70,4.7,208
45,4/18/2013,1604,28.53,11.4,78,27.0,195
25,4/18/2013,1659,28.2,15.2,119,17.6,180
26,4/18/2013,1648,29.0,15.7,83,21.6,172
27,4/18/2013,1654,28.5,15.7,139,25.5,191
28,4/18/2013,1723,29.2,14.7,120,14.5,169
29,4/18/2013,1635,29.7,26.3,96,25.4,170
30,4/18/2013,1411,29.1,28.7,88,21.2,196
1,5/16/2013,1020,25.4,14.3,130,2.7,96
21,5/16/2013,1320,26.6,37.2,110,2.2,51
2,5/16/2013,1025,25.2,14.6,140,2.4,87
12,5/16/2013,1120,25.9,28.8,100,5.1,85
3,5/16/2013,1040,25.6,16.0,145,2.4,102.87
13,5/16/2013,1115,25.5,29.8,115,4.8,86.49
4,5/16/2013,1010,25.00,13.6,130,3.3,104
14,5/16/2013,1140,26.30,28.6,40,7.3,80
5,5/16/2013,1035,26.3,15.5,110,0.5,102
15,5/16/2013,1220,25.7,35.0,65,5.0,76
6,5/16/2013,1015,25.2,13.4,125,3.4,89.4
16,5/16/2013,1230,26.3,35.3,75,11.7,75
7,5/16/2013,1050,25.7,16.7,100,0.8,93
17,5/16/2013,1150,27.2,30.2,65,7.4,76
8,5/16/2013,1055,26.2,21.2,120,1.1,88
18,5/16/2013,1210,26.1,35.0,70,8.2,95
9,5/16/2013,1105,25.5,21.9,110,2.3,87
19,5/16/2013,1245,26.5,33.9,60,9.8,84
20,5/16/2013,1300,26.6,38.4,55,7.5,104
10,5/16/2013,1125,27.0,29.3,65,8.6,99
31,5/21/2013,1056,26.3,29.3,97,14.5,142
22,5/21/2013,1319,28.8,14.5,50,14.5,114
32,5/21/2013,1031,26.4,29.5,77,14.4,134
42,5/21/2013,1120,26.3,11.3,68,46.6,140
23,5/21/2013,1306,28.9,14.7,101,6.8,93.06
33,5/21/2013,1016,26.3,34.4,80,7.9,112
43,5/21/2013,1128,28.1,11.6,51,53.6,140
24,5/21/2013,1301,29.1,14.6,95,8.8,86
34,5/21/2013,1010,27.5,38.4,85,5.9,106
44,5/21/2013,1208,28.8,11.8,60,50.5,124
35,5/21/2013,1024,26.05,34.4,88,7.4,113
45,5/21/2013,1215,27.61,11.4,70,40.3,139
25,5/21/2013,1248,27.7,15.8,130,21.2,100
26,5/21/2013,1240,27.9,16.1,100,22.7,91.8
27,5/21/2013,1244,27.2,16.2,150,22.4,96
28,5/21/2013,1310,28.0,15.1,138,13.9,90
29,5/21/2013,1232,27.3,25.4,110,33.3,104
30,5/21/2013,1103,27.4,27.1,106,22.5,108
31,6/11/2013,1152,30.8,12.0,105,17.2,222
22,6/11/2013,1400,31.0,12.4,75,10.7,147
32,6/11/2013,1234,29.7,12.2,55,24.8,263
42,6/11/2013,1022,29.4,5.3,85,14.1,265
23,6/11/2013,1248,30.6,12.9,120,3.6,94
33,6/11/2013,1225,31.2,16.4,75,22.6,314
43,6/11/2013,1033,30.3,8.2,95,22.9,215
24,6/11/2013,1353,31.2,12.9,119,3.6,91
34,6/11/2013,1220,30.8,19.3,73,20.9,252
44,6/11/2013,1115,31.2,8.3,80,25.1,214
35,6/11/2013,1232,30.61,16.4,88,24.9,306
45,6/11/2013,1125,30.01,8.7,100,20.4,191
25,6/11/2013,1325,30.6,13.1,155,10.9,108
26,6/11/2013,1316,30.6,13.1,125,12.7,117
27,6/11/2013,1320,30.6,13.0,172,11.9,114
28,6/11/2013,1341,30.3,12.9,160,4.8,96
29,6/11/2013,1307,30.7,11.1,130,17.2,220
30,6/11/2013,1142,31.2,11.5,120,16.6,207
1,6/12/2013,1128,30.0,7.1,158,3.1,179
21,6/12/2013,1351,30.4,26.4,120,2.9,65
2,6/12/2013,1132,30.0,7.2,168,2.9,162
12,6/12/2013,1215,30.7,11.9,118,5.4,135
3,6/12/2013,1134,30.4,8.3,171,4.2,148
13,6/12/2013,1208,30.8,12.1,125,6.5,190
4,6/12/2013,1118,30.03,5.6,135,2.5,189
14,6/12/2013,1233,30.89,11.9,50,7.4,146
5,6/12/2013,1139,31.1,7.3,122,2.7,184
15,6/12/2013,1303,30.8,16.2,78,4.0,124
6,6/12/2013,1124,30.2,7.4,150,3.7,160
16,6/12/2013,1314,31.2,14.5,80,3.8,131
7,6/12/2013,1144,30.8,8.3,117,0.9,206
17,6/12/2013,1240,31.1,12.8,77,6.2,180
8,6/12/2013,1153,30.7,9.3,130,2.5,153
18,6/12/2013,1255,31.0,14.5,78,3.6,131
9,6/12/2013,1200,30.8,10.2,130,2.1,122
19,6/12/2013,1327,31.6,14.6,70,4.4,134
20,6/12/2013,1335,31.7,16.0,1,3.2,155
10,6/12/2013,1220,31.0,11.8,68,7.4,165
1,8/7/2013,1219,31.2,2.5,150,3.5,167
21,8/7/2013,1448,31.9,24.0,131,7.1,59
2,8/7/2013,1223,31.2,2.7,170,4.0,157
12,8/7/2013,1325,31.8,4.7,119,3.1,210
3,8/7/2013,1247,31.5,2.7,165,5.4,162
13,8/7/2013,1317,31.8,5.0,122,3.9,223
4,8/7/2013,1209,31.22,2.4,125,3.4,179
14,8/7/2013,1343,32.32,4.0,70,8.1,188
5,8/7/2013,1232,32.4,2.3,108,1.3,196
15,8/7/2013,1402,31.8,8.2,90,24.9,218
6,8/7/2013,1215,31.3,2.5,148,5.2,163
16,8/7/2013,1407,32.8,16.9,101,11.5,147
7,8/7/2013,1253,32.2,2.7,110,1.6,192
17,8/7/2013,1350,32.4,8.1,90,14.7,204
8,8/7/2013,1301,31.8,2.7,128,1.9,174
18,8/7/2013,1356,32.3,9.4,95,31.7,205
9,8/7/2013,1309,31.8,2.9,123,4.2,178
19,8/7/2013,1418,32.7,22.6,89,5.1,64
20,8/7/2013,1428,33.1,22.5,80,6.3,60
10,8/7/2013,1330,31.2,4.0,75,4.3,197
31,8/13/2013,1215,31.7,7.5,103,9.2,174
22,8/13/2013,959,30.3,9.7,80,3.2,159
32,8/13/2013,1153,31.4,7.6,49,8.3,188
42,8/13/2013,1238,31.5,4.4,85,11.0,204
23,8/13/2013,1013,30.1,10.0,115,1.1,43
33,8/13/2013,1141,30.4,9.1,74,11.9,252
43,8/13/2013,1246,31.7,4.6,85,12.7,193
24,8/13/2013,1019,30.6,10.2,110,2.3,110
34,8/13/2013,1136,30.9,10.0,68,19.5,282
44,8/13/2013,1326,32.0,4.6,95,12.0,195
35,8/13/2013,1145,30.43,9.5,79,7.9,262
45,8/13/2013,1333,30.86,4.8,90,11.0,186
25,8/13/2013,1040,30.4,8.8,150,8.2,124
26,8/13/2013,1051,30.5,8.8,122,6.9,127
27,8/13/2013,1045,30.3,8.8,165,7.9,133
28,8/13/2013,1008,29.8,9.5,151,0.6,110
29,8/13/2013,1057,30.4,7.5,125,7.1,161
30,8/13/2013,1222,31.6,7.4,114,8.8,161
21,9/13/2013,1340,30.7,28.3,138,2.9,43
41,9/13/2013,1431,31.9,19.1,71,9.7,142
12,9/13/2013,1216,30.8,5.5,121,5.6,132
4,9/13/2013,1135,30.28,2.8,130,6.2,138
14,9/13/2013,1234,34.41,15.4,70,15.5,111
5,9/13/2013,1150,30.4,3.0,129,2.9,164
15,9/13/2013,1254,30.8,11.7,92,14.2,121
16,9/13/2013,1300,31.1,13.8,103,11.9,105
37,9/13/2013,1408,32.8,19.8,57,10.4,129
17,9/13/2013,1241,30.2,14.8,93,13.5,111
18,9/13/2013,1249,30.5,13.0,96,12.8,117
9,9/13/2013,1204,30.1,3.7,121,4.4,131
19,9/13/2013,1307,30.9,27.4,85,4.1,53
40,9/13/2013,1419,32.1,17.2,65,10.1,146
20,9/13/2013,1320,31.2,28.0,80,7.2,48
31,9/24/2013,1256,32.1,6.8,107,7.9,139
24,9/24/2013,1536,31.5,9.2,135,1.8,83
34,9/24/2013,1112,30.6,9.2,80,5.6,195
44,9/24/2013,1329,31.7,4.0,100,8.0,202
25,9/24/2013,1508,31.1,8.5,153,7.1,108
31,11/15/2013,1351,24.1,6.1,85,7.5,276
24,11/15/2013,1700,24.2,8.2,110,2.6,183
44,11/15/2013,1504,24.2,3.5,75,13.5,327
35,11/15/2013,1206,23.0,9.8,80,8.0,290
25,11/15/2013,1627,23.5,8.1,138,8.8,216
21,11/20/2013,1321,27.4,29.0,136,2.2,120
41,11/20/2013,1427,28.7,27.8,68,0.6,131
12,11/20/2013,1146,27.6,16.9,132,5.0,191
4,11/20/2013,1016,25.97,2.3,141,6.1,195
14,11/20/2013,1205,28.59,23.2,74,12.2,135
5,11/20/2013,1103,26.6,2.5,100,1.1,165
15,11/20/2013,1242,28.7,25.8,95,5.4,142
16,11/20/2013,1234,27.7,23.1,98,9.8,133
37,11/20/2013,1356,28.8,28.1,58,1.8,149
17,11/20/2013,1215,28.9,25.5,95,5.0,132
18,11/20/2013,1225,27.1,20.1,100,4.9,143
9,11/20/2013,1133,27.0,6.8,130,3.2,178
19,11/20/2013,1255,27.9,27.3,87,12.9,114
40,11/20/2013,1411,28.6,27.4,60,0.9,147
20,11/20/2013,1307,28.3,28.2,88,6.9,101
31,1/30/2014,1234,21.7,5.9,93,8.0,167
24,1/30/2014,1631,21.4,8.2,95,4.2,160
34,1/30/2014,1100,21.5,10.2,65,7.3,190
44,1/30/2014,1323,21.9,3.4,80,11.5,218
25,1/30/2014,1600,21.6,7.9,130,10.6,173
21,2/6/2014,1356,27.3,27.7,127,3.0,115
41,2/6/2014,1423,29.1,25.1,50,4.3,186
12,2/6/2014,1145,26.8,13.1,111,4.7,157
4,2/6/2014,1021,26.42,3.5,129,4.7,177
14,2/6/2014,1200,26.42,13.5,54,5.1,143
5,2/6/2014,1123,26.7,4.1,118,1.8,156
15,2/6/2014,1240,27.4,20.2,79,6.4,129
16,2/6/2014,1254,27.4,21.8,87,7.5,129
37,2/6/2014,1453,30.6,25.0,38,3.2,190
17,2/6/2014,1212,27.0,21.2,85,13.1,123
18,2/6/2014,1229,27.2,21.2,83,6.6,129
9,2/6/2014,1131,26.6,8.0,119,3.9,148
19,2/6/2014,1311,28.2,24.3,68,4.8,130
40,2/6/2014,1436,29.6,23.0,46,5.0,182
20,2/6/2014,1327,28.0,26.4,67,4.2,104
31,3/12/2014,1316,27.5,7.0,77,4.8,146
24,3/12/2014,1012,24.9,8.4,83,13.2,143
34,3/12/2014,1410,27.7,11.8,68,8.3,171
44,3/12/2014,1215,26.1,4.2,70,21.7,210
25,3/12/2014,1041,24.5,8.3,125,8.2,142
21,5/7/2014,1705,29.1,41.8,125,3.1,80
12,5/7/2014,1430,29.0,31.4,115,9.4,99
12C,5/7/2014,1417,29.7,31.6,120,7,94
4A,5/7/2014,1131,27.0,8.0,111,3.2,97
13,5/7/2014,1446,29.2,32.0,120,4.5,89
4,5/7/2014,1100,26.95,8.5,135,4.1,112
14,5/7/2014,1521,30.55,32.6,60,20.9,97
5,5/7/2014,1211,27.8,11.7,126,2.2,102
15,5/7/2014,1604,29.4,37.2,80,4.4,82
6,5/7/2014,1141,27.5,10.3,123,3.1,88
16,5/7/2014,1619,29.7,36.4,92,3.2,95
7,5/7/2014,1229,28.1,12.8,126,2.1,91
17,5/7/2014,1533,30.0,36.3,80,6.2,124
8,5/7/2014,1246,28.6,19.6,120,2.1,88
18,5/7/2014,1552,29.3,37.1,85,6.0,85
9,5/7/2014,1318,28.7,21.3,120,3.8,92
19,5/7/2014,1633,30.0,37.5,69,6.1,98
20,5/7/2014,1645,30.5,39.2,70,6.0,67
10,5/7/2014,1500,31.3,32.4,72,4.3,96
23,5/8/2014,1423,28.2,9.9,87,14.5,114
24,5/8/2014,1406,28.6,9.9,80,13.1,126
25,5/8/2014,1308,28.7,10.0,102,17.9,125
25C,5/8/2014,1251,28.9,9.9,121,15.8,151
27,5/8/2014,1223,27.0,12.0,135,18.5,125
28,5/8/2014,1350,27.3,9.8,120,32.9,135
21,7/9/2014,1446,32.6,41.1,125,3.5,29
12,7/9/2014,1248,32.7,35.1,128,5.4,48
12C,7/9/2014,1237,32.4,34.9,133,8,43
4A,7/9/2014,1036,31.2,17.3,118,2.6,38
13,7/9/2014,1217,31.9,34.8,125,9.7,44
4,7/9/2014,1025,30.96,17.3,150,2.1,40
14,7/9/2014,1316,33.66,38.0,80,4.8,41
5,7/9/2014,1114,31.0,19.6,117,2.3,35
15,7/9/2014,1340,32.8,10.9,93,2.3,36
6,7/9/2014,1048,31.3,17.4,140,2.3,40
16,7/9/2014,1349,32.9,10.0,104,4.7,48
7,7/9/2014,1126,32.0,22.8,102,1.5,40
17,7/9/2014,1325,32.9,39.9,93,2.8,37
8,7/9/2014,1138,31.9,27.0,130,3.2,40
18,7/9/2014,1333,33.0,40.1,93,3.4,39
9,7/9/2014,1159,31.7,27.0,127,4.6,42
19,7/9/2014,1356,33.2,10.5,83,3.5,36
20,7/9/2014,1421,33.1,40.7,82,5.0,34
10,7/9/2014,1259,32.3,36.2,74,4.1,45
31,7/11/2014,1206,30.9,37.2,80,22.2,72
32,7/11/2014,1135,30.9,52.0,55,19.4,83
42,7/11/2014,1248,31.1,14.0,70,13.5,86
23,7/11/2014,1606,31.6,13.0,110,14.7,56
33,7/11/2014,1050,29.9,53.5,85,31.3,86
43,7/11/2014,1304,31.5,14.1,60,9.9,73
24,7/11/2014,1555,32.5,13.4,95,14.7,70
34,7/11/2014,1025,30.1,55.1,72,17.8,81
44,7/11/2014,1323,32.3,14.0,80,11.5,71
24C,7/11/2014,1541,31.69,13.8,115,18.5,70
35,7/11/2014,1100,29.96,53.5,84,27.2,88
45,7/11/2014,1340,32.12,14.9,80,8.2,64
25,7/11/2014,1520,31.2,15.5,125,18.6,70
25C,7/11/2014,1506,31.7,15.6,145,18.7,71
27,7/11/2014,1450,31.5,16.3,155,20.4,74
28,7/11/2014,1614,31.4,13.4,140,20.7,64
29,7/11/2014,1416,32.8,30.7,110,24.5,81
30,7/11/2014,1224,31.7,34.9,105,22.2,84
21,9/3/2014,1440,31.2,40.5,135,2.8,78
12,9/3/2014,1302,31.2,29.5,133,9.3,114
12C,9/3/2014,1252,31.1,28.7,138,11,111
4A,9/3/2014,955,29.8,15.5,118,2.2,126
13,9/3/2014,1237,30.6,30.4,125,10.1,117
4,9/3/2014,1039,29.74,15.7,134,3.4,114
14,9/3/2014,1329,31.92,30.3,73,10.5,117
5,9/3/2014,1115,31.2,17.7,120,2.2,108
15,9/3/2014,1352,30.8,37.3,95,18.2,93
6,9/3/2014,1049,30.1,15.9,155,4.4,108
16,9/3/2014,1400,30.9,35.8,100,6.2,108
7,9/3/2014,1130,30.6,19.2,115,2.0,99
17,9/3/2014,1337,32.0,36.6,90,4.7,102
8,9/3/2014,1148,31.3,21.3,147,4.9,111
18,9/3/2014,1345,30.9,36.0,93,11.2,108
9,9/3/2014,1220,30.6,23.0,132,6.7,99
19,9/3/2014,1409,31.2,37.3,83,3.4,99
20,9/3/2014,1421,31.7,39.3,82,3.2,135
10,9/3/2014,1309,32.1,30.1,94,14.1,114
31,9/5/2014,1132,31.5,21.4,105,16.8,123
32,9/5/2014,1048,31.3,31.4,60,36.3,183
42,9/5/2014,1308,32.5,13.5,65,5.4,138
23,9/5/2014,1519,32.7,14.7,126,14.4,108
33,9/5/2014,1016,31.0,31.9,80,36.9,213
43,9/5/2014,1251,32.4,13.7,70,6.3,132
24,9/5/2014,1511,33.8,14.7,128,16.1,114
34,9/5/2014,1000,30.8,30.8,80,44.5,294
44,9/5/2014,1236,32.5,13.7,50,5.8,129
24C,9/5/2014,1459,32.16,14.6,120,13.5,120
35,9/5/2014,1032,30.71,31.8,91,33.9,249
45,9/5/2014,1224,31.23,13.9,100,6.1,120
25,9/5/2014,1428,31.7,14.6,147,15.6,120
25C,9/5/2014,1412,31.5,14.7,145,16.3,117
27,9/5/2014,1358,31.4,14.8,160,15.5,114
28,9/5/2014,1527,31.6,14.6,145,11.9,105
29,9/5/2014,1341,32.2,18.9,112,16.1,117
30,9/5/2014,1200,31.9,20.3,105,14.1,120
21,11/5/2014,1605,22.5,38.2,138,2.1,69
12,11/5/2014,1425,22.6,18.1,120,6.4,137
12C,11/5/2014,1417,22.9,18.5,129,8,135
4A,11/5/2014,1141,21.5,11.7,108,18.3,121
13,11/5/2014,1402,22.9,20.0,127,9.1,134
4,11/5/2014,1126,21.44,11.7,122,6.5,123
14,11/5/2014,1455,24.24,21.3,62,7.4,125
5,11/5/2014,1159,22.6,12.9,109,1.5,113
15,11/5/2014,1516,23.1,21.5,91,10.9,129
6,11/5/2014,1112,21.8,12.3,140,4.0,121
16,11/5/2014,1523,23.5,25.3,100,7.3,112
7,11/5/2014,1311,22.5,12.9,111,1.9,130
17,11/5/2014,1504,23.6,21.5,95,6.9,123
8,11/5/2014,1331,22.7,13.7,130,3.9,123
18,11/5/2014,1510,23.3,21.9,93,8.7,120
9,11/5/2014,1349,22.7,14.8,120,5.9,160
19,11/5/2014,1530,23.7,36.7,80,3.0,75
20,11/5/2014,1542,24.0,36.9,73,3.5,76
10,11/5/2014,1434,23.9,20.5,73,8.4,132
31,11/12/2014,1044,22.9,14.2,105,23.2,125
32,11/12/2014,1001,23.6,17.7,54,29.6,159
42,11/12/2014,1122,23.9,11.7,80,6.8,135
23,11/12/2014,1340,24.6,14.2,120,19.3,110
33,11/12/2014,937,22.3,18.2,80,22.7,161
43,11/12/2014,1126,24.1,11.6,65,11.0,140
24,11/12/2014,1332,25.2,14.1,108,17.3,113
34,11/12/2014,921,21.7,17.9,82,17.0,161
44,11/12/2014,1141,23.7,11.2,65,8.2,145
24C,11/12/2014,1322,24.37,14.1,121,16.8,110
35,11/12/2014,947,21.87,18.3,85,21.6,165
45,11/12/2014,1155,23.70,13.2,75,3.6,174
25,11/12/2014,1302,23.8,13.7,143,13.2,112
25C,11/12/2014,1254,23.7,13.7,150,12.7,121
27,11/12/2014,1242,23.7,13.6,160,13.4,118
