Site,Date,TOTN,TOTP
35,10/17/2006,76.44,2.14
35,11/16/2006,73.29,1.96
35,12/21/2006,98.96,2.84
35,1/23/2007,204.43,3.27
35,2/15/2007,91.64,3.53
35,3/12/2007,177.96,4.47
35,4/24/2007,75.14,2.76
35,6/5/2007,82.40,3.04
35,6/29/2007,99.93,2.81
35,8/2/2007,75.49,3.29
35,8/22/2007,84.13,2.85
35,10/5/2007,79.56,1.72
35,11/20/2007,98.40,2.04
35,12/18/2007,100.41,2.70
35,1/9/2008,114.41,2.91
35,2/4/2008,114.75,3.44
35,3/7/2008,208.90,4.19
35,4/23/2008,118.40,2.63
35,6/24/2008,143.00,1.59
35,8/7/2008,57.10,1.43
35,9/2/2008,118.92,1.13
35,10/8/2008,111.10,1.91
35,11/10/2008,88.42,2.97
35,12/30/2008,83.52,3.41
35,1/29/2009,194.21,4.58
35,4/6/2009,89.87,0.57
35,7/1/2009,158.33,1.42
35,8/11/2009,138.30,3.50
35,9/28/2009,200.08,2.65
35,11/12/2009,199.38,1.21
35,1/20/2010,157.86,1.16
35,3/19/2010,955.51,1.07
35,6/17/2010,192.38,0.81
35,2/8/2011,123.96,0.32
35,8/4/2011,179.53,1.11
35,9/15/2011,227.46,1.74
35,10/7/2011,160.56,2.21
35,11/3/2011,159.43,1.84
35,12/2/2011,191.28,1.54
35,2/22/2012,149.46,0.68
35,3/12/2012,140.91,0.79
35,4/27/2012,151.57,0.78
35,6/13/2012,88.79,0.58
35,8/1/2012,145.53,1.15
35,9/11/2012,132.17,1.13
35,10/5/2012,107.31,1.03
35,11/8/2012,94.79,1.23
35,12/27/2012,100.74,1.16
35,1/15/2013,135.39,1.41
35,3/20/2013,143.02,0.49
35,4/18/2013,140.93,0.71
35,5/21/2013,114.50,0.80
35,6/11/2013,188.13,3.19
35,8/13/2013,122.84,1.70
35,7/11/2014,121.97,2.37
35,9/5/2014,328.56,1.95
35,11/12/2014,130.19,1.94
35,1/16/2015,177.35,2.70
35,4/1/2015,484.37,5.36
35,5/18/2015,185.99,2.81
35,10/14/2015,185.12,2.27
35,12/17/2015,211.42,2.50
35,2/24/2016,151.34,3.57
35,5/3/2016,168.39,2.33
35,7/6/2016,234.21,2.58
35,9/7/2016,155.52,1.37
35,11/16/2016,124.56,1.91
35,6/21/2017,155.96,1.89
35,11/1/2017,118.90,1.61
35,2/12/2018,180.44,2.45
35,7/10/2018,220.78,3.94
35,10/5/2018,206.17,2.09
37,9/13/2013,97.69,0.84
37,11/20/2013,65.17,0.16
37,2/6/2014,107.85,0.64
40,4/26/2006,82.50,1.21
40,6/15/2006,49.57,0.45
40,8/18/2006,84.02,2.79
40,8/31/2006,73.06,2.81
40,9/22/2006,81.35,3.16
40,10/17/2006,68.32,2.56
40,10/23/2006,78.98,2.26
40,11/24/2006,85.16,3.37
40,2/22/2007,95.56,2.93
40,5/3/2007,32.52,0.78
40,6/7/2007,47.59,0.94
40,6/29/2007,86.34,3.59
40,8/2/2007,75.89,2.32
40,8/28/2007,86.94,1.88
40,10/5/2007,96.62,2.40
40,11/28/2007,93.93,2.25
40,11/29/2007,119.25,2.58
40,12/27/2007,93.10,0.09
40,2/6/2008,72.06,1.45
40,2/8/2008,107.67,2.46
40,3/7/2008,75.93,1.39
40,6/10/2008,105.58,0.56
40,7/17/2008,29.38,0.66
40,8/5/2008,36.44,0.79
40,8/27/2008,84.76,1.07
40,9/2/2008,102.08,0.74
40,10/8/2008,134.51,1.67
40,11/6/2008,103.56,2.53
40,4/1/2009,85.28,0.27
40,4/6/2009,73.19,0.59
40,7/1/2009,82.78,0.61
40,8/11/2009,103.20,1.66
40,9/14/2009,146.73,1.06
40,9/28/2009,191.24,3.19
40,11/12/2009,136.39,0.48
40,12/31/2009,159.71,1.10
40,4/9/2010,139.46,0.22
40,4/23/2010,139.63,0.40
40,5/28/2010,125.74,0.20
40,6/17/2010,145.33,0.55
40,7/12/2010,131.33,2.54
40,9/22/2010,128.80,0.57
40,1/18/2011,137.33,1.71
40,3/10/2011,142.44,1.16
40,5/16/2011,107.87,0.40
40,6/13/2011,93.50,0.35
40,7/1/2011,67.72,0.36
40,8/4/2011,104.99,0.31
40,9/15/2011,141.33,0.83
40,10/3/2011,127.42,0.63
40,10/10/2011,115.42,0.70
40,11/4/2011,158.91,2.58
40,2/22/2012,98.69,0.37
40,4/5/2012,104.92,0.37
40,4/24/2012,103.77,0.33
40,6/13/2012,147.93,1.16
40,8/1/2012,144.02,0.69
40,9/11/2012,145.63,1.84
40,8/23/2013,137.20,0.34
40,9/13/2013,105.31,0.82
40,11/20/2013,62.41,0.16
40,2/6/2014,127.95,0.74
41,9/13/2013,108.55,0.88
41,11/20/2013,59.76,0.14
41,2/6/2014,122.37,0.71
42,7/11/2014,117.98,2.54
42,9/5/2014,95.18,1.74
42,11/12/2014,101.16,1.66
42,1/16/2015,120.27,1.89
42,4/1/2015,189.43,3.07
42,5/18/2015,204.89,3.69
43,2/8/2011,199.45,2.77
43,4/14/2011,134.61,5.11
43,5/11/2011,209.30,6.40
43,6/30/2011,318.65,6.50
43,8/4/2011,287.69,2.95
43,9/15/2011,169.95,2.71
43,10/7/2011,231.89,3.37
43,11/3/2011,163.65,2.29
43,12/2/2011,183.53,3.14
43,2/21/2012,207.84,4.62
43,3/12/2012,158.69,7.14
43,4/27/2012,223.83,6.66
43,6/13/2012,199.22,4.64
43,8/1/2012,170.10,2.73
43,9/11/2012,151.16,3.76
43,10/5/2012,108.93,2.38
43,11/8/2012,92.98,2.29
43,12/27/2012,84.77,3.03
43,1/15/2013,146.95,3.62
43,2/19/2013,128.19,4.31
43,3/20/2013,249.00,4.82
43,4/18/2013,141.12,6.36
43,5/21/2013,266.02,6.78
43,6/11/2013,138.43,3.99
43,8/13/2013,93.12,1.92
43,7/11/2014,107.88,2.43
43,9/5/2014,97.65,1.91
43,11/12/2014,117.60,1.58
43,1/16/2015,105.54,1.84
43,4/1/2015,164.31,2.91
43,5/18/2015,182.26,7.93
43,10/14/2015,184.31,1.43
43,12/17/2015,148.61,3.20
43,2/24/2016,255.54,5.07
43,5/3/2016,200.16,5.10
43,7/6/2016,207.63,4.10
43,9/7/2016,173.24,2.61
43,11/16/2016,86.24,1.91
43,2/14/2017,142.85,3.38
43,6/21/2017,160.63,4.58
43,11/2/2017,119.78,1.18
43,2/12/2018,182.88,2.92
43,7/10/2018,234.32,5.16
44,9/24/2013,70.56,1.40
44,11/15/2013,68.28,0.70
44,1/30/2014,64.04,1.41
44,3/12/2014,111.35,4.11
44,7/11/2014,103.18,2.26
44,9/5/2014,103.40,1.85
44,11/12/2014,116.03,1.64
44,1/16/2015,102.91,1.69
44,4/1/2015,172.41,2.76
44,5/18/2015,175.18,3.56
44,10/14/2015,187.48,1.90
44,12/17/2015,137.40,2.93
44,2/24/2016,77.90,5.85
44,5/3/2016,192.21,5.37
44,7/6/2016,208.44,4.48
44,9/7/2016,182.05,3.02
44,11/16/2016,78.14,1.75
44,2/14/2017,129.91,3.10
44,6/21/2017,164.53,4.97
44,11/2/2017,123.79,1.22
44,2/12/2018,178.15,2.78
44,7/10/2018,429.27,4.78
45,7/11/2014,108.41,2.77
45,9/5/2014,98.13,1.67
45,11/12/2014,83.21,0.65
45,1/16/2015,97.46,1.86
45,4/1/2015,185.75,2.78
45,5/18/2015,147.37,3.11
