Sample.ID,Depth,Temperature,DO,Salinity,Secchi.Disk,SED.Depth,SAV,,Site.Class,Strata,ID,Year,Season,System,Lake
1-5-2-297,0.6,26,115.5,23.6,0.3,1,0,,Seasonal,Offshore,2017 Wet 1-5-2-297,2017,Wet,Alligator,Garfield Bight
1-5-2-305,0.5,24.2,66.8,20.9,0.3,1.5,0,,Seasonal,Offshore,2017 Wet 1-5-2-305,2017,Wet,Alligator,Garfield Bight
1-5-2-T1,0.7,27,76.4,26,0.4,1.3,0,,Seasonal,Offshore,2017 Wet 1-5-2-T1,2017,Wet,Alligator,Garfield Bight
1-5-2-T2,0.8,26.1,49,25.1,0.5,1.2,0,,Seasonal,Offshore,2017 Wet 1-5-2-T2,2017,Wet,Alligator,Garfield Bight
1-5-2-T3,0.7,28.1,108,25.6,0.5,1.4,0,,Seasonal,Offshore,2017 Wet 1-5-2-T3,2017,Wet,Alligator,Garfield Bight
2-2-1-117,1.3,23.9,87.7,3.8,1.1,0.6,0,,Seasonal,Inshore,2017 Wet 2-2-1-117,2017,Wet,McCormick,Middle Lake
2-2-1-120,0.7,24.6,96.7,4,0.7,0.9,0,,Seasonal,Inshore,2017 Wet 2-2-1-120,2017,Wet,McCormick,Middle Lake
2-2-1-122,1,24.4,84.3,3.9,0.7,0.7,0,,Seasonal,Inshore,2017 Wet 2-2-1-122,2017,Wet,McCormick,Middle Lake
2-2-2-345,1.4,24.7,97.6,3.9,0.6,0.3,5,,Seasonal,Offshore,2017 Wet 2-2-2-345,2017,Wet,McCormick,Middle Lake
2-2-2-353,1.4,24.8,90.3,3.9,0.5,0.2,0,,Seasonal,Offshore,2017 Wet 2-2-2-353,2017,Wet,McCormick,Middle Lake
2-2-2-370,1,23.4,93.2,4,0.8,0.9,20,,Seasonal,Offshore,2017 Wet 2-2-2-370,2017,Wet,McCormick,Middle Lake
2-2-2-T1,1.4,23.6,95.6,4,0.7,0.4,5,,Seasonal,Offshore,2017 Wet 2-2-2-T1,2017,Wet,McCormick,Middle Lake
2-2-2-T2,1.3,25.1,96.2,3.9,1,0.8,20,,Seasonal,Offshore,2017 Wet 2-2-2-T2,2017,Wet,McCormick,Middle Lake
2-3-1-130,0.7,23.7,72.1,0.72,0.3,1,5,,Seasonal,Inshore,2017 Wet 2-3-1-130,2017,Wet,McCormick,Monroe Lake
2-3-1-1B,0.9,24.2,62.1,6.9,0.5,0.7,0,,Seasonal,Inshore,2017 Wet 2-3-1-1B,2017,Wet,McCormick,Monroe Lake
2-3-1-2B,1,26.1,77.6,12.1,0.5,0.7,0,,Seasonal,Inshore,2017 Wet 2-3-1-2B,2017,Wet,McCormick,Monroe Lake
2-3-2-1B,1,23.9,27.8,10.3,0.4,0.5,50,,Seasonal,Offshore,2017 Wet 2-3-2-1B,2017,Wet,McCormick,Monroe Lake
2-3-2-374,1.3,24.2,86,6.9,0.9,0.3,0,,Seasonal,Offshore,2017 Wet 2-3-2-374,2017,Wet,McCormick,Monroe Lake
2-3-2-380,1.3,24.5,84,6.2,0.6,0.3,0,,Seasonal,Offshore,2017 Wet 2-3-2-380,2017,Wet,McCormick,Monroe Lake
2-3-2-T1,0.9,25.1,85.7,6.5,0.5,0.7,0,,Seasonal,Offshore,2017 Wet 2-3-2-T1,2017,Wet,McCormick,Monroe Lake
2-3-2-T2,1.3,24.6,84.7,6.4,0.7,0.6,0,,Seasonal,Offshore,2017 Wet 2-3-2-T2,2017,Wet,McCormick,Monroe Lake
2-4-1-139,0.9,25.3,37.2,17.7,0.4,1,0,,Seasonal,Inshore,2017 Wet 2-4-1-139,2017,Wet,McCormick,Terrapin Bay
2-4-1-145,0.9,24.7,34.5,18.5,0.3,1,0,,Seasonal,Inshore,2017 Wet 2-4-1-145,2017,Wet,McCormick,Terrapin Bay
2-4-1-150,0.7,25.2,69,21.3,0.4,1.3,0,,Seasonal,Inshore,2017 Wet 2-4-1-150,2017,Wet,McCormick,Terrapin Bay
2-4-2-419,1,25.2,128.1,21.1,0.5,1,0,,Seasonal,Offshore,2017 Wet 2-4-2-419,2017,Wet,McCormick,Terrapin Bay
2-4-2-421,1,23.5,88.8,14.8,0.4,1.1,0,,Seasonal,Offshore,2017 Wet 2-4-2-421,2017,Wet,McCormick,Terrapin Bay
2-4-2-433,1.1,24.4,65.9,12.3,0.4,0.9,0,,Seasonal,Offshore,2017 Wet 2-4-2-433,2017,Wet,McCormick,Terrapin Bay
2-4-2-T1,1.1,25.2,83.4,11.8,0.4,0.6,0,,Seasonal,Offshore,2017 Wet 2-4-2-T1,2017,Wet,McCormick,Terrapin Bay
2-4-2-T2,1,24.3,59,16.3,0.4,1,0,,Seasonal,Offshore,2017 Wet 2-4-2-T2,2017,Wet,McCormick,Terrapin Bay
1-1-1-31,1.1,27.3,93,17.7,0.3,0.5,90,,Seasonal,Inshore,2018 Dry 1-1-1-31,2018,Dry,Alligator,West Lake
1-1-1-41,1,26.8,59.4,15.9,0.4,0.8,100,,Seasonal,Inshore,2018 Dry 1-1-1-41,2018,Dry,Alligator,West Lake
1-1-1-48,1.1,27,90.8,18.1,0.3,0.8,0,,Seasonal,Inshore,2018 Dry 1-1-1-48,2018,Dry,Alligator,West Lake
1-1-2-175,1.2,27.4,106.9,16.7,0.3,0.7,100,,Seasonal,Offshore,2018 Dry 1-1-2-175,2018,Dry,Alligator,West Lake
1-1-2-190,1.1,26.6,83,18.6,0.3,0.4,85,,Seasonal,Offshore,2018 Dry 1-1-2-190,2018,Dry,Alligator,West Lake
1-1-2-1A,1.2,27.8,102,15.8,0.3,0.7,100,,Seasonal,Offshore,2018 Dry 1-1-2-1A,2018,Dry,Alligator,West Lake
1-1-2-T1,1.1,26.2,90.4,16.7,0.3,0.7,100,,Seasonal,Offshore,2018 Dry 1-1-2-T1,2018,Dry,Alligator,West Lake
1-1-2-T2,1.3,26.2,89.1,17.4,0.8,0.4,100,,Seasonal,Offshore,2018 Dry 1-1-2-T2,2018,Dry,Alligator,West Lake
1-2-1-58,1,30.2,65.5,13.9,0.3,0.5,0,,Seasonal,Inshore,2018 Dry 1-2-1-58,2018,Dry,Alligator,Cuthbert Lake
1-2-1-63,1,32.4,122.1,14,0.2,0.8,5,,Seasonal,Inshore,2018 Dry 1-2-1-63,2018,Dry,Alligator,Cuthbert Lake
1-2-1-70,1,32.3,29.5,14,0.2,0.5,0,,Seasonal,Inshore,2018 Dry 1-2-1-70,2018,Dry,Alligator,Cuthbert Lake
1-2-2-221,1.3,32.3,134.3,13.9,0.2,0.2,0,,Seasonal,Offshore,2018 Dry 1-2-2-221,2018,Dry,Alligator,Cuthbert Lake
1-2-2-300,1.2,30.9,94.5,13.9,0.2,0.2,50,,Seasonal,Offshore,2018 Dry 1-2-2-300,2018,Dry,Alligator,Cuthbert Lake
1-2-2-301,1.1,30.6,79.1,3.9,0.2,0.4,0,,Seasonal,Offshore,2018 Dry 1-2-2-301,2018,Dry,Alligator,Cuthbert Lake
1-3-1-17,0.9,30.3,32.9,15.5,0.2,1.1,0,,Seasonal,Inshore,2018 Dry 1-3-1-17,2018,Dry,Alligator,Long Lake
1-3-1-21,0.8,29.7,8.3,15.6,0.2,1,30,,Seasonal,Inshore,2018 Dry 1-3-1-21,2018,Dry,Alligator,Long Lake
1-3-1-27,0.8,29.7,12.2,13,0.2,0.95,60,,Seasonal,Inshore,2018 Dry 1-3-1-27,2018,Dry,Alligator,Long Lake
1-3-2-226,0.9,28.5,9.7,15.6,0.2,0.9,0,,Seasonal,Offshore,2018 Dry 1-3-2-226,2018,Dry,Alligator,Long Lake
1-3-2-227,1,29,34.1,15.5,0.2,0.8,80,,Seasonal,Offshore,2018 Dry 1-3-2-227,2018,Dry,Alligator,Long Lake
1-3-2-T1,1.3,29.6,55.5,14.8,0.2,0.4,0,,Seasonal,Offshore,2018 Dry 1-3-2-T1,2018,Dry,Alligator,Long Lake
1-3-2-T2,1.2,28.9,31.5,15.6,0.2,0.5,5,,Seasonal,Offshore,2018 Dry 1-3-2-T2,2018,Dry,Alligator,Long Lake
1-3-2-T3,1,29.4,38.2,15.4,0.2,1,85,,Seasonal,Offshore,2018 Dry 1-3-2-T3,2018,Dry,Alligator,Long Lake
1-4-1-282,0.7,29.5,7.8,14.5,0.2,1.1,95,,Seasonal,Inshore,2018 Dry 1-4-1-282,2018,Dry,Alligator,The Lungs
1-4-1-283,0.5,31.5,35.1,16.9,0.4,1.5,85,,Seasonal,Inshore,2018 Dry 1-4-1-283,2018,Dry,Alligator,The Lungs
1-4-1-8,0.6,35.5,67.4,14.3,0.2,1.1,0,,Seasonal,Inshore,2018 Dry 1-4-1-8,2018,Dry,Alligator,The Lungs
1-4-2-256,0.9,29.9,40.1,16.9,0.4,0.7,90,,Seasonal,Offshore,2018 Dry 1-4-2-256,2018,Dry,Alligator,The Lungs
1-4-2-258,0.9,29.4,22.7,17.2,0.4,0.75,95,,Seasonal,Offshore,2018 Dry 1-4-2-258,2018,Dry,Alligator,The Lungs
1-4-2-281,1,32.4,40.8,14.2,0.3,0.95,100,,Seasonal,Offshore,2018 Dry 1-4-2-281,2018,Dry,Alligator,The Lungs
1-4-2-T1,0.7,33.4,48,14.7,0.2,1.1,0,,Seasonal,Offshore,2018 Dry 1-4-2-T1,2018,Dry,Alligator,The Lungs
1-4-2-T2,0.9,29,9.9,17,0.4,0.8,100,,Seasonal,Offshore,2018 Dry 1-4-2-T2,2018,Dry,Alligator,The Lungs
1-4-2-T3,0.9,30.1,26.5,16.2,0.4,0.9,98,,Seasonal,Offshore,2018 Dry 1-4-2-T3,2018,Dry,Alligator,The Lungs
1-5-1-84,0.7,29.1,75.3,40.2,0.7,1.5,0,,Seasonal,Inshore,2018 Dry 1-5-1-84,2018,Dry,Alligator,Garfield Bight
1-5-2-297,0.7,27.9,76.1,38.4,0.7,1.5,5,,Seasonal,Offshore,2018 Dry 1-5-2-297,2018,Dry,Alligator,Garfield Bight
1-5-2-305,0.6,31.8,134.4,39.5,0.4,1.5,5,,Seasonal,Offshore,2018 Dry 1-5-2-305,2018,Dry,Alligator,Garfield Bight
1-5-2-T1,0.5,31.5,92,40,0.5,1.5,0,,Seasonal,Offshore,2018 Dry 1-5-2-T1,2018,Dry,Alligator,Garfield Bight
1-5-2-T2,0.5,32.5,78.8,40,0.3,1.4,0,,Seasonal,Offshore,2018 Dry 1-5-2-T2,2018,Dry,Alligator,Garfield Bight
1-5-2-T3,0.6,29.9,90,40.2,0.6,1.5,0,,Seasonal,Offshore,2018 Dry 1-5-2-T3,2018,Dry,Alligator,Garfield Bight
2-1-1-100,0.8,28.3,90.5,20.1,0.5,0.7,8,,Seasonal,Inshore,2018 Dry 2-1-1-100,2018,Dry,McCormick,Seven Palm
2-1-1-107,0.7,28,63.3,14.8,0.5,0.8,5,,Seasonal,Inshore,2018 Dry 2-1-1-107,2018,Dry,McCormick,Seven Palm
2-1-1-90,1,28.2,74.5,14.8,0.4,0.5,100,,Seasonal,Inshore,2018 Dry 2-1-1-90,2018,Dry,McCormick,Seven Palm
2-1-2-314,1.3,27.8,76.5,15.1,0.5,0.1,0,,Seasonal,Offshore,2018 Dry 2-1-2-314,2018,Dry,McCormick,Seven Palm
2-1-2-318,1.1,28.1,77.1,14.9,0.5,0.3,100,,Seasonal,Offshore,2018 Dry 2-1-2-318,2018,Dry,McCormick,Seven Palm
2-1-2-330,1.1,27.6,86.8,18.9,0.6,0.6,75,,Seasonal,Offshore,2018 Dry 2-1-2-330,2018,Dry,McCormick,Seven Palm
2-1-2-340B,1.3,27.7,85,15.5,0.5,0.1,100,,Seasonal,Offshore,2018 Dry 2-1-2-340B,2018,Dry,McCormick,Seven Palm
2-1-2-T2,1.1,27.9,74.1,16.6,0.5,0.4,100,,Seasonal,Offshore,2018 Dry 2-1-2-T2,2018,Dry,McCormick,Seven Palm
2-1-2-T3,0.8,28,87.3,20.6,0.5,0.2,100,,Seasonal,Offshore,2018 Dry 2-1-2-T3,2018,Dry,McCormick,Seven Palm
2-2-1-117,0.8,27.1,38.6,22,0.4,0.7,100,,Seasonal,Inshore,2018 Dry 2-2-1-117,2018,Dry,McCormick,Middle Lake
2-2-1-120,0.4,28.1,89.9,32.6,0.4,0.5,15,,Seasonal,Inshore,2018 Dry 2-2-1-120,2018,Dry,McCormick,Middle Lake
2-2-1-122,0.8,28.4,86.5,21.3,0.4,0.7,100,,Seasonal,Inshore,2018 Dry 2-2-1-122,2018,Dry,McCormick,Middle Lake
2-2-2-345,1.1,28.6,103,22.2,0.5,0.4,5,,Seasonal,Offshore,2018 Dry 2-2-2-345,2018,Dry,McCormick,Middle Lake
2-2-2-353,1.1,29.4,105,29.3,0.5,0.4,5,,Seasonal,Offshore,2018 Dry 2-2-2-353,2018,Dry,McCormick,Middle Lake
2-2-2-370,0.9,27.9,54.3,24,0.5,0.7,100,,Seasonal,Offshore,2018 Dry 2-2-2-370,2018,Dry,McCormick,Middle Lake
2-2-2-T1,1.1,27.8,51.2,25.2,0.6,0.6,100,,Seasonal,Offshore,2018 Dry 2-2-2-T1,2018,Dry,McCormick,Middle Lake
2-2-2-T2,1.1,29.1,94.5,22.1,0.6,0.5,80,,Seasonal,Offshore,2018 Dry 2-2-2-T2,2018,Dry,McCormick,Middle Lake
2-3-1-132,0.7,30.7,174,26.9,0.4,0.6,95,,Seasonal,Inshore,2018 Dry 2-3-1-132,2018,Dry,McCormick,Monroe Lake
2-3-1-1B,0.7,30.9,231.2,25,0.5,0.7,95,,Seasonal,Inshore,2018 Dry 2-3-1-1B,2018,Dry,McCormick,Monroe Lake
2-3-1-2B,0.7,30,114.6,26.2,0.4,0.7,0,,Seasonal,Inshore,2018 Dry 2-3-1-2B,2018,Dry,McCormick,Monroe Lake
2-3-2-1B,0.55,27.4,53.5,27.1,0.6,0.65,85,,Seasonal,Offshore,2018 Dry 2-3-2-1B,2018,Dry,McCormick,Monroe Lake
2-3-2-374,1,28,81.3,25.9,0.4,0.3,40,,Seasonal,Offshore,2018 Dry 2-3-2-374,2018,Dry,McCormick,Monroe Lake
2-3-2-380,0.9,27.8,93.5,26.3,0.4,0.5,85,,Seasonal,Offshore,2018 Dry 2-3-2-380,2018,Dry,McCormick,Monroe Lake
2-3-2-386,0.5,29.8,167.2,27.4,0.5,0.9,90,,Seasonal,Offshore,2018 Dry 2-3-2-386,2018,Dry,McCormick,Monroe Lake
2-3-2-T1,0.5,30.8,110.5,26.7,0.3,1,5,,Seasonal,Offshore,2018 Dry 2-3-2-T1,2018,Dry,McCormick,Monroe Lake
2-3-2-T2,1,28,108.6,26.4,0.4,0.5,80,,Seasonal,Offshore,2018 Dry 2-3-2-T2,2018,Dry,McCormick,Monroe Lake
2-4-1-139,0.5,26.1,81.5,31.8,0.2,0.9,5,,Seasonal,Inshore,2018 Dry 2-4-1-139,2018,Dry,McCormick,Terrapin Bay
2-4-1-145,0.5,30.6,54,32,0.2,1.5,5,,Seasonal,Inshore,2018 Dry 2-4-1-145,2018,Dry,McCormick,Terrapin Bay
2-4-1-150,0.5,29.1,88.5,33.2,0.2,1.2,0,,Seasonal,Inshore,2018 Dry 2-4-1-150,2018,Dry,McCormick,Terrapin Bay
2-4-2-419,0.6,29,79.5,53.2,0.4,1,15,,Seasonal,Offshore,2018 Dry 2-4-2-419,2018,Dry,McCormick,Terrapin Bay
2-4-2-421,0.6,25.8,56,29.7,0.4,1.2,0,,Seasonal,Offshore,2018 Dry 2-4-2-421,2018,Dry,McCormick,Terrapin Bay
2-4-2-433,0.7,25.7,86.1,30.1,0.4,0.7,5,,Seasonal,Offshore,2018 Dry 2-4-2-433,2018,Dry,McCormick,Terrapin Bay
2-4-2-T1,0.6,25.8,84.5,31.3,0.3,0.7,5,,Seasonal,Offshore,2018 Dry 2-4-2-T1,2018,Dry,McCormick,Terrapin Bay
2-4-2-T2,0.6,26.8,49.3,30.6,0.4,0.9,5,,Seasonal,Offshore,2018 Dry 2-4-2-T2,2018,Dry,McCormick,Terrapin Bay
2-4-2-T3,0.6,28.7,93.1,32.5,0.3,1,5,,Seasonal,Offshore,2018 Dry 2-4-2-T3,2018,Dry,McCormick,Terrapin Bay
1-1-1-12,0.9,23.1,138.3,11,0.9,0.4,100,,Seasonal,Inshore,2018 Wet 1-1-1-12,2018,Wet,Alligator,West Lake
1-1-1-15,1,21.8,118.1,11.4,1,0.4,100,,Seasonal,Inshore,2018 Wet 1-1-1-15,2018,Wet,Alligator,West Lake
1-1-1-8,0.7,21.4,61.6,11.3,0.4,0.9,100,,Seasonal,Inshore,2018 Wet 1-1-1-8,2018,Wet,Alligator,West Lake
1-1-2-11,1.3,22.3,101.5,11.4,0.5,0.2,100,,Seasonal,Offshore,2018 Wet 1-1-2-11,2018,Wet,Alligator,West Lake
1-1-2-14,1.2,22.9,142.5,12.4,1.2,0.6,100,,Seasonal,Offshore,2018 Wet 1-1-2-14,2018,Wet,Alligator,West Lake
1-1-2-9,1.2,22.4,102.8,11.2,0.6,0.3,0,,Seasonal,Offshore,2018 Wet 1-1-2-9,2018,Wet,Alligator,West Lake
1-1-2-T1,0.9,22.5,149,12,0.9,0.8,100,,Seasonal,Offshore,2018 Wet 1-1-2-T1,2018,Wet,Alligator,West Lake
1-1-2-T2,1.2,22.7,129.8,11.4,1.2,0.5,20,,Seasonal,Offshore,2018 Wet 1-1-2-T2,2018,Wet,Alligator,West Lake
1-2-1-12,0.8,24.8,107.2,8.6,0.4,0.5,0,,Seasonal,Inshore,2018 Wet 1-2-1-12,2018,Wet,Alligator,Cuthbert Lake
1-2-1-6,0.7,21.2,91,8.5,0.4,0.7,0,,Seasonal,Inshore,2018 Wet 1-2-1-6,2018,Wet,Alligator,Cuthbert Lake
1-2-1-8,0.8,19.9,78,8.6,0.4,0.4,75,,Seasonal,Inshore,2018 Wet 1-2-1-8,2018,Wet,Alligator,Cuthbert Lake
1-2-2-18,1.4,23.9,120.1,8.6,0.4,0.1,0,,Seasonal,Offshore,2018 Wet 1-2-2-18,2018,Wet,Alligator,Cuthbert Lake
1-2-2-4,0.9,22.5,114.1,8.5,0.5,0.6,0,,Seasonal,Offshore,2018 Wet 1-2-2-4,2018,Wet,Alligator,Cuthbert Lake
1-2-2-8,1.4,22.1,106.4,8.7,0.5,0,0,,Seasonal,Offshore,2018 Wet 1-2-2-8,2018,Wet,Alligator,Cuthbert Lake
1-2-2-9,1.4,22,124.6,8.7,0.5,0,0,,Seasonal,Offshore,2018 Wet 1-2-2-9,2018,Wet,Alligator,Cuthbert Lake
1-3-1-13,0.6,23.7,101.1,12,0.4,1.1,0,,Seasonal,Inshore,2018 Wet 1-3-1-13,2018,Wet,Alligator,Long Lake
1-3-1-24,0.7,24.4,121.7,12,0.4,0.8,0,,Seasonal,Inshore,2018 Wet 1-3-1-24,2018,Wet,Alligator,Long Lake
1-3-1-6,0.7,23.1,92.5,2.9,0.4,0.9,30,,Seasonal,Inshore,2018 Wet 1-3-1-6,2018,Wet,Alligator,Long Lake
1-3-2-5,0.9,24,114.6,12.1,0.4,0.6,0,,Seasonal,Offshore,2018 Wet 1-3-2-5,2018,Wet,Alligator,Long Lake
1-3-2-6,1,23.1,133.6,13.3,0.4,0.6,75,,Seasonal,Offshore,2018 Wet 1-3-2-6,2018,Wet,Alligator,Long Lake
1-3-2-8,0.9,23,112.2,13.5,0.4,0.7,75,,Seasonal,Offshore,2018 Wet 1-3-2-8,2018,Wet,Alligator,Long Lake
1-3-2-T2,1.1,23.8,118.9,12.1,0.3,0.3,0,,Seasonal,Offshore,2018 Wet 1-3-2-T2,2018,Wet,Alligator,Long Lake
1-3-2-T3,0.9,23,131.2,13,0.4,0.9,80,,Seasonal,Offshore,2018 Wet 1-3-2-T3,2018,Wet,Alligator,Long Lake
1-4-1-18,0.6,24.1,115.7,20.1,0.4,1.1,0,,Seasonal,Inshore,2018 Wet 1-4-1-18,2018,Wet,Alligator,The Lungs
1-4-1-19,0.5,23.6,117.7,20.5,0.5,1.1,0,,Seasonal,Inshore,2018 Wet 1-4-1-19,2018,Wet,Alligator,The Lungs
1-4-1-24,0.5,20,66.5,22.5,0.5,1.2,0,,Seasonal,Inshore,2018 Wet 1-4-1-24,2018,Wet,Alligator,The Lungs
1-4-2-20,0.8,20.7,112.8,22.8,0.4,0.7,100,,Seasonal,Offshore,2018 Wet 1-4-2-20,2018,Wet,Alligator,The Lungs
1-4-2-6,0.8,21.4,112.1,23,0.3,0.8,75,,Seasonal,Offshore,2018 Wet 1-4-2-6,2018,Wet,Alligator,The Lungs
1-4-2-T2,0.8,20.2,104,22.6,0.5,0.7,100,,Seasonal,Offshore,2018 Wet 1-4-2-T2,2018,Wet,Alligator,The Lungs
1-4-2-T3,0.8,21.9,115.7,22.2,0.3,0.8,45,,Seasonal,Offshore,2018 Wet 1-4-2-T3,2018,Wet,Alligator,The Lungs
1-5-1-11,0.6,21.5,115.8,32.3,0.2,1.5,75,,Seasonal,Inshore,2018 Wet 1-5-1-11,2018,Wet,Alligator,Garfield Bight
1-5-1-3,0.5,22.7,131.7,32.2,0.3,1.5,5,,Seasonal,Inshore,2018 Wet 1-5-1-3,2018,Wet,Alligator,Garfield Bight
1-5-1-5,0.5,18.3,64.5,33.9,0.3,1.6,0,,Seasonal,Inshore,2018 Wet 1-5-1-5,2018,Wet,Alligator,Garfield Bight
1-5-2-22,0.7,20.9,100.9,31.2,0.3,1.1,0,,Seasonal,Offshore,2018 Wet 1-5-2-22,2018,Wet,Alligator,Garfield Bight
1-5-2-5,0.7,21.4,108.1,31.1,0.3,1.5,0,,Seasonal,Offshore,2018 Wet 1-5-2-5,2018,Wet,Alligator,Garfield Bight
1-5-2-T1,0.5,19,84.3,32.1,0.3,1.6,0,,Seasonal,Offshore,2018 Wet 1-5-2-T1,2018,Wet,Alligator,Garfield Bight
1-5-2-T3,0.6,19.7,97.2,30.6,0.2,1.4,0,,Seasonal,Offshore,2018 Wet 1-5-2-T3,2018,Wet,Alligator,Garfield Bight
2-1-1-11,1.1,18.8,97,10,0.8,1,90,,Seasonal,Inshore,2018 Wet 2-1-1-11,2018,Wet,McCormick,Seven Palm
2-1-1-4,0.9,18,100,6.8,0.4,0.4,25,,Seasonal,Inshore,2018 Wet 2-1-1-4,2018,Wet,McCormick,Seven Palm
2-1-1-5,0.9,20.5,98.5,8.2,0.7,0.6,100,,Seasonal,Inshore,2018 Wet 2-1-1-5,2018,Wet,McCormick,Seven Palm
2-1-1-7,1,20.4,96.6,8.1,0.5,0.5,95,,Seasonal,Inshore,2018 Wet 2-1-1-7,2018,Wet,McCormick,Seven Palm
2-1-2-1A,1.2,19.5,128,8.6,0.8,0.2,100,,Seasonal,Offshore,2018 Wet 2-1-2-1A,2018,Wet,McCormick,Seven Palm
2-1-2-6,1.3,19.4,85.8,6.4,0.8,0.1,95,,Seasonal,Offshore,2018 Wet 2-1-2-6,2018,Wet,McCormick,Seven Palm
2-1-2-9,1.3,19.7,94.5,8.1,0.8,0.3,95,,Seasonal,Offshore,2018 Wet 2-1-2-9,2018,Wet,McCormick,Seven Palm
2-1-2-T2,1.3,19.8,54.1,8.2,0.7,0.4,100,,Seasonal,Offshore,2018 Wet 2-1-2-T2,2018,Wet,McCormick,Seven Palm
2-2-1-1,1.1,21.9,119,12.4,0.8,0.6,100,,Seasonal,Inshore,2018 Wet 2-2-1-1,2018,Wet,McCormick,Middle Lake
2-2-1-24,1,22.2,140,15,0.5,0.7,100,,Seasonal,Inshore,2018 Wet 2-2-1-24,2018,Wet,McCormick,Middle Lake
2-2-2-14,1.3,20.4,101.6,11.6,0.7,0.4,5,,Seasonal,Offshore,2018 Wet 2-2-2-14,2018,Wet,McCormick,Middle Lake
2-2-2-19,1.2,21.3,130,12.8,0.8,0.5,100,,Seasonal,Offshore,2018 Wet 2-2-2-19,2018,Wet,McCormick,Middle Lake
2-2-2-20,1,18.8,118,10,0.8,0.7,100,,Seasonal,Offshore,2018 Wet 2-2-2-20,2018,Wet,McCormick,Middle Lake
2-2-2-T1,1.4,20.4,102.2,10.4,0.8,0.4,100,,Seasonal,Offshore,2018 Wet 2-2-2-T1,2018,Wet,McCormick,Middle Lake
2-2-2-T2,1.3,21.2,102.4,12.8,0.8,0.6,95,,Seasonal,Offshore,2018 Wet 2-2-2-T2,2018,Wet,McCormick,Middle Lake
2-2-2-T3,1.2,19.2,107,8.4,0.8,0.4,100,,Seasonal,Offshore,2018 Wet 2-2-2-T3,2018,Wet,McCormick,Middle Lake
2-3-1-2,0.9,22.4,135,17.2,0.9,0.7,97,,Seasonal,Inshore,2018 Wet 2-3-1-2,2018,Wet,McCormick,Monroe Lake
2-3-1-6,1,22.4,165,20.3,1,0.7,100,,Seasonal,Inshore,2018 Wet 2-3-1-6,2018,Wet,McCormick,Monroe Lake
2-3-1-8,0.9,21.5,111.6,15.8,0.9,0.7,100,,Seasonal,Inshore,2018 Wet 2-3-1-8,2018,Wet,McCormick,Monroe Lake
2-3-2-1,1.1,21.7,144,18.1,1.1,0.7,100,,Seasonal,Offshore,2018 Wet 2-3-2-1,2018,Wet,McCormick,Monroe Lake
2-3-2-17,1.2,22.8,150,18.6,1.2,0.4,100,,Seasonal,Offshore,2018 Wet 2-3-2-17,2018,Wet,McCormick,Monroe Lake
2-3-2-4,1.2,21.9,145,17.7,1,0.6,100,,Seasonal,Offshore,2018 Wet 2-3-2-4,2018,Wet,McCormick,Monroe Lake
2-3-2-T1,1,23.1,111,23.6,0.6,0.7,0,,Seasonal,Offshore,2018 Wet 2-3-2-T1,2018,Wet,McCormick,Monroe Lake
2-3-2-T2,1.3,22.9,150,18.5,1.3,0.4,85,,Seasonal,Offshore,2018 Wet 2-3-2-T2,2018,Wet,McCormick,Monroe Lake
2-3-2-T3,1.45,22,127,18.2,0.9,0.2,95,,Seasonal,Offshore,2018 Wet 2-3-2-T3,2018,Wet,McCormick,Monroe Lake
2-4-1-13,0.8,22.2,73.5,25.7,0.6,1,90,,Seasonal,Inshore,2018 Wet 2-4-1-13,2018,Wet,McCormick,Terrapin Bay
2-4-1-20,0.6,20.6,85.9,25.9,0.3,1.2,0,,Seasonal,Inshore,2018 Wet 2-4-1-20,2018,Wet,McCormick,Terrapin Bay
2-4-1-9,0.5,21.6,80.2,22.8,0.5,1.3,0,,Seasonal,Inshore,2018 Wet 2-4-1-9,2018,Wet,McCormick,Terrapin Bay
2-4-2-13,0.8,21,69.9,25.3,0.6,1,100,,Seasonal,Offshore,2018 Wet 2-4-2-13,2018,Wet,McCormick,Terrapin Bay
2-4-2-19,0.7,22.2,92.4,27.8,0.6,1.1,0,,Seasonal,Offshore,2018 Wet 2-4-2-19,2018,Wet,McCormick,Terrapin Bay
2-4-2-8,0.9,21.4,89.9,25.8,0.4,0.9,5,,Seasonal,Offshore,2018 Wet 2-4-2-8,2018,Wet,McCormick,Terrapin Bay
2-4-2-T1,0.8,21.4,93.5,27.2,0.5,0.7,0,,Seasonal,Offshore,2018 Wet 2-4-2-T1,2018,Wet,McCormick,Terrapin Bay
2-4-2-T2,0.8,21,72.9,25,0.6,1,5,,Seasonal,Offshore,2018 Wet 2-4-2-T2,2018,Wet,McCormick,Terrapin Bay
1-1-1-15,0.8,31.8,81.3,13.7,0.8,0.6,100,,Seasonal,Inshore,2019 Dry 1-1-1-15,2019,Dry,Alligator,West Lake
1-1-1-24,1,23,129.8,13.1,1,0.7,95,,Seasonal,Inshore,2019 Dry 1-1-1-24,2019,Dry,Alligator,West Lake
1-1-1-8,1,30.1,133.3,13.4,1,0.6,100,,Seasonal,Inshore,2019 Dry 1-1-1-8,2019,Dry,Alligator,West Lake
1-1-2-11,1.2,30.1,133.3,13.4,1,0.6,100,,Seasonal,Offshore,2019 Dry 1-1-2-11,2019,Dry,Alligator,West Lake
