Sample.ID,Depth,Temperature,DO,Salinity,Secchi.Disk,SED.Depth,SAV,,Site.Class,Strata,ID,Year,Season,System,Lake
1-5-2-7,0.7,26.4,123.2,28,0.7,1.2,53,,Seasonal,Offshore,2016 Wet 1-5-2-7,2016,Wet,Alligator,Garfield Bight
1-5-2-T1,0.7,26.5,79.6,32,0.3,1.6,90,,Seasonal,Offshore,2016 Wet 1-5-2-T1,2016,Wet,Alligator,Garfield Bight
1-5-2-T2,0.6,26,72.2,31.5,0.3,1.2,90,,Seasonal,Offshore,2016 Wet 1-5-2-T2,2016,Wet,Alligator,Garfield Bight
1-5-2-T3,0.7,27.8,130,32.6,0.4,1.8,100,,Seasonal,Offshore,2016 Wet 1-5-2-T3,2016,Wet,Alligator,Garfield Bight
2-1-1-16,0.8,26.3,88.4,5.6,0.8,0.5,0,,Seasonal,Inshore,2016 Wet 2-1-1-16,2016,Wet,McCormick,Seven Palm
2-1-1-19,1.2,27,84.7,6.2,1.1,0.35,2,,Seasonal,Inshore,2016 Wet 2-1-1-19,2016,Wet,McCormick,Seven Palm
2-1-2-1,1.3,27.7,84.9,6.9,0.8,0.4,13,,Seasonal,Offshore,2016 Wet 2-1-2-1,2016,Wet,McCormick,Seven Palm
2-1-2-26,1.4,27.9,85.5,7.2,0.7,0.5,8,,Seasonal,Offshore,2016 Wet 2-1-2-26,2016,Wet,McCormick,Seven Palm
2-1-2-4,1.3,27.6,92,6.9,0.9,0.3,2,,Seasonal,Offshore,2016 Wet 2-1-2-4,2016,Wet,McCormick,Seven Palm
2-1-2-T2,1.3,27.1,68.8,6.2,0.7,0.55,0,,Seasonal,Offshore,2016 Wet 2-1-2-T2,2016,Wet,McCormick,Seven Palm
2-1-2-T3,1.3,27.5,87.1,6.9,0.7,0.7,10,,Seasonal,Offshore,2016 Wet 2-1-2-T3,2016,Wet,McCormick,Seven Palm
2-2-1-1,1.2,24.6,52.1,6.6,0.8,0.5,2,,Seasonal,Inshore,2016 Wet 2-2-1-1,2016,Wet,McCormick,Middle Lake
2-2-1-11,0.9,25.5,79.6,7,0.85,0.8,5,,Seasonal,Inshore,2016 Wet 2-2-1-11,2016,Wet,McCormick,Middle Lake
2-2-1-3,0.9,26.1,85.2,6.8,0.8,0.7,2,,Seasonal,Inshore,2016 Wet 2-2-1-3,2016,Wet,McCormick,Middle Lake
2-2-2-20,1.3,25.8,86.5,6.9,0.9,0.4,80,,Seasonal,Offshore,2016 Wet 2-2-2-20,2016,Wet,McCormick,Middle Lake
2-2-2-26,1.2,26.1,93.7,6.8,0.75,0.6,55,,Seasonal,Offshore,2016 Wet 2-2-2-26,2016,Wet,McCormick,Middle Lake
2-2-2-3,1.2,24.9,52.5,6.3,0.8,0.7,3,,Seasonal,Offshore,2016 Wet 2-2-2-3,2016,Wet,McCormick,Middle Lake
2-2-2-9,1.4,25.7,89.8,6.8,0.75,0.3,72,,Seasonal,Offshore,2016 Wet 2-2-2-9,2016,Wet,McCormick,Middle Lake
2-2-2-T1,1.5,25.1,68.1,6.4,0.7,0.4,0,,Seasonal,Offshore,2016 Wet 2-2-2-T1,2016,Wet,McCormick,Middle Lake
2-2-2-T2,1.3,25.5,100.8,7,0.9,0.9,80,,Seasonal,Offshore,2016 Wet 2-2-2-T2,2016,Wet,McCormick,Middle Lake
2-3-1-11,0.9,25.2,96.6,11.5,0.7,0.7,3,,Seasonal,Inshore,2016 Wet 2-3-1-11,2016,Wet,McCormick,Monroe Lake
2-3-1-13,0.9,24.6,82.5,11.2,0.5,0.6,0,,Seasonal,Inshore,2016 Wet 2-3-1-13,2016,Wet,McCormick,Monroe Lake
2-3-1-20,0.8,24.5,74.5,11.3,0.7,1,17,,Seasonal,Inshore,2016 Wet 2-3-1-20,2016,Wet,McCormick,Monroe Lake
2-3-2-1,1.2,25.9,105.5,10.9,0.5,0.5,17,,Seasonal,Offshore,2016 Wet 2-3-2-1,2016,Wet,McCormick,Monroe Lake
2-3-2-14,1.2,26,87.5,11.8,0.7,0.5,22,,Seasonal,Offshore,2016 Wet 2-3-2-14,2016,Wet,McCormick,Monroe Lake
2-3-2-5,1.4,25.5,101.5,11.1,0.8,0.4,18,,Seasonal,Offshore,2016 Wet 2-3-2-5,2016,Wet,McCormick,Monroe Lake
2-3-2-6,1.2,26.1,85.3,14.8,0.5,0.4,40,,Seasonal,Offshore,2016 Wet 2-3-2-6,2016,Wet,McCormick,Monroe Lake
2-3-2-T1,0.9,26.9,98.2,12.8,0.6,0.6,100,,Seasonal,Offshore,2016 Wet 2-3-2-T1,2016,Wet,McCormick,Monroe Lake
2-3-2-T2,1.4,25.4,101.1,10.9,0.7,0.5,80,,Seasonal,Offshore,2016 Wet 2-3-2-T2,2016,Wet,McCormick,Monroe Lake
2-4-1-18,0.8,27,43,28.2,0.8,1.9,47,,Seasonal,Inshore,2016 Wet 2-4-1-18,2016,Wet,McCormick,Terrapin Bay
2-4-1-7,0.8,26.2,65.3,27.6,0.8,1.2,48,,Seasonal,Inshore,2016 Wet 2-4-1-7,2016,Wet,McCormick,Terrapin Bay
2-4-1-8,0.9,27.8,82.4,26.1,0.9,1,42,,Seasonal,Inshore,2016 Wet 2-4-1-8,2016,Wet,McCormick,Terrapin Bay
2-4-2-10,1,28.6,97.7,28.2,0.9,1,63,,Seasonal,Offshore,2016 Wet 2-4-2-10,2016,Wet,McCormick,Terrapin Bay
2-4-2-19,1,28.9,105.7,28,0.9,1,70,,Seasonal,Offshore,2016 Wet 2-4-2-19,2016,Wet,McCormick,Terrapin Bay
2-4-2-3,0.7,29.4,181.6,28.7,0.7,1.4,77,,Seasonal,Offshore,2016 Wet 2-4-2-3,2016,Wet,McCormick,Terrapin Bay
2-4-2-T1,1,27,95,23.3,0.9,0.8,90,,Seasonal,Offshore,2016 Wet 2-4-2-T1,2016,Wet,McCormick,Terrapin Bay
